#あきゅうおうきゅう,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
#JSGAMECLGCommonTextWindow,テキストウィンドウ,UID,描画順序,表示/非表示,画像パス,画像サイズX,画像サイズY,表示座標X,表示座標Y,表示サイズX,表示サイズY,テキスト桁数,テキスト行数,表示文言セット,,,
JSGAMECLGCommonImage,顔グラ,back-face,8100,TRUE,./data/img/common/face_frame.pngX,120,120,510,10,,,,,,,,
JSGAMECLGCommonImage,顔グラ,face,8101,TRUE,./data/img/face/korin.pngX,100,100,520,20,,,,,,,,
,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#セーブ1個目,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
JSGAMECLGCommonMenuElement,セーブ選択肢,SelectMenu1,8200,TRUE,./data/img/village/menu_elem_2.png,83,32,50,110, ,25,9,testFont,textFront,textShadow,,
JSGAMECLGCommonWindow,セーブ選択肢背景,SelectMenuWindow1,8100,TRUE,./data/img/common/window15x15.png,15,15,180,110,250,80,,,,,,
JSGAMECLGCommonText,セーブ欄No,Select-No1,8200,TRUE,180,110,No.1,middle,textFront,textShadow,,,,,,,
JSGAMECLGCommonText,ダンジョンクリア数,Select-Clear1-Label,8200,TRUE,180,128,ダンジョンクリア数：,middle,textFront,textShadow,,,,,,,
JSGAMECLGCommonText,ダンジョンクリア数,Select-Clear1,8200,TRUE,340,128,サンプルテキスト,middle,textFront,textShadow,,,,,,,
JSGAMECLGCommonText,セーブ日時,Select-Day1,8200,TRUE,180,146,サンプルテキスト,middle,textFront,textShadow,,,,,,,
#,メンバ編成アイコン,Icon1,,TRUE,,,,,,,,,,,,,
#セーブ2個目,,,,,,,,,,,,,,,,,
JSGAMECLGCommonMenuElement,セーブ選択肢,SelectMenu2,8200,TRUE,./data/img/village/menu_elem_2.png,83,32,50,220, ,25,9,testFont,textFront,textShadow,,
JSGAMECLGCommonWindow,セーブ選択肢背景,SelectMenuWindow2,8100,TRUE,./data/img/common/window15x15.png,15,15,180,220,250,80,,,,,,
JSGAMECLGCommonText,セーブ欄No,Select-No2,8200,TRUE,180,220,No.2,middle,textFront,textShadow,,,,,,,
JSGAMECLGCommonText,ダンジョンクリア数,Select-Clear2-Label,8200,TRUE,180,238,ダンジョンクリア数：,middle,textFront,textShadow,,,,,,,
JSGAMECLGCommonText,ダンジョンクリア数,Select-Clear2,8200,TRUE,340,238,サンプルテキスト,middle,textFront,textShadow,,,,,,,
JSGAMECLGCommonText,セーブ日時,Select-Day2,8200,TRUE,180,256,サンプルテキスト,middle,textFront,textShadow,,,,,,,
#,メンバ編成アイコン,Icon2,,TRUE,,,,,,,,,,,,,
#セーブ3個目,,,,,,,,,,,,,,,,,
JSGAMECLGCommonMenuElement,セーブ選択肢,SelectMenu3,8200,TRUE,./data/img/village/menu_elem_2.png,83,32,50,330, ,25,9,testFont,textFront,textShadow,,
JSGAMECLGCommonWindow,セーブ選択肢背景,SelectMenuWindow3,8100,TRUE,./data/img/common/window15x15.png,15,15,180,330,250,80,,,,,,
JSGAMECLGCommonText,セーブ欄No,Select-No3,8200,TRUE,180,330,No.3,middle,textFront,textShadow,,,,,,,
JSGAMECLGCommonText,ダンジョンクリア数,Select-Clear3-Label,8200,TRUE,180,348,ダンジョンクリア数：,middle,textFront,textShadow,,,,,,,
JSGAMECLGCommonText,ダンジョンクリア数,Select-Clear3,8200,TRUE,340,348,サンプルテキスト,middle,textFront,textShadow,,,,,,,
JSGAMECLGCommonText,セーブ日時,Select-Day3,8200,TRUE,180,366,サンプルテキスト,middle,textFront,textShadow,,,,,,,
#,メンバ編成アイコン,Icon3,,TRUE,,,,,,,,,,,,,
